,id,goog,count_all,count_rating,count_review,rating,picture,length,experience,period,locationid,time,period_ch,dum,did,ln_count_all,ln_count_rating,ln_count_review,ln_length,timedum_1,timedum_2,timedum_3,timedum_4,timedum_5,timedum_6,timedum_7,timedum_8,diddum_1,diddum_2,diddum_3,diddum_4,diddum_5,diddum_6,diddum_7,diddum_8,_est_ln_count_all
109,55.0,0,11.0,11.0,11.0,4.0,0.54545456,245.81818,345.72726,2018M09,8,7.0,1.0,1.0,0.0,2.3978953,2.3978953,2.3978953,5.504592,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
110,56.0,1,213.0,103.0,110.0,4.568075,0.0046948357,86.354546,64.07981,2018M10,8,8.0,1.0,1.0,1.0,5.3612924,4.634729,4.7004805,4.4584613,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
111,56.0,0,17.0,17.0,17.0,4.352941,0.5294118,319.35294,631.64703,2018M10,8,8.0,1.0,1.0,0.0,2.8332133,2.8332133,2.8332133,5.766297,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
112,57.0,1,139.0,83.0,56.0,4.589928,0.02877698,66.78571,44.352516,2017M07,9,1.0,0.0,0.0,0.0,4.934474,4.4188404,4.0253515,4.201489,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
113,57.0,0,18.0,18.0,18.0,4.0,0.8888889,183.61111,344.77777,2017M07,9,1.0,0.0,0.0,0.0,2.8903718,2.8903718,2.8903718,5.21282,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
114,58.0,1,152.0,95.0,57.0,4.5986843,0.0,76.38596,37.29605,2017M08,9,2.0,0.0,0.0,0.0,5.0238805,4.553877,4.0430512,4.3357987,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
115,58.0,0,16.0,16.0,16.0,4.0625,0.75,292.0625,1105.1875,2017M08,9,2.0,0.0,0.0,0.0,2.7725887,2.7725887,2.7725887,5.6769676,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
116,59.0,1,202.0,138.0,64.0,4.5940595,0.004950495,50.15625,31.163366,2017M09,9,3.0,0.0,0.0,0.0,5.3082676,4.9272537,4.158883,3.9151433,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
117,59.0,0,28.0,28.0,28.0,4.214286,0.8214286,245.96428,255.03572,2017M09,9,3.0,0.0,0.0,0.0,3.3322046,3.3322046,3.3322046,5.505186,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
118,60.0,1,224.0,140.0,84.0,4.571429,0.004464286,60.67857,36.825893,2017M10,9,4.0,0.0,0.0,0.0,5.411646,4.9416423,4.4308167,4.105591,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
119,60.0,0,20.0,20.0,20.0,4.2,0.7,286.6,828.2,2017M10,9,4.0,0.0,0.0,0.0,2.9957323,2.9957323,2.9957323,5.6580877,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
120,61.0,1,155.0,97.0,58.0,4.5741935,0.006451613,84.86207,32.780643,2018M07,9,5.0,1.0,1.0,1.0,5.043425,4.574711,4.060443,4.441027,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
121,61.0,0,10.0,10.0,10.0,4.1,0.7,284.3,266.3,2018M07,9,5.0,1.0,1.0,0.0,2.3025851,2.3025851,2.3025851,5.65003,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
122,62.0,1,188.0,110.0,78.0,4.574468,0.005319149,65.371796,36.425533,2018M08,9,6.0,1.0,1.0,1.0,5.236442,4.7004805,4.356709,4.180091,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
123,62.0,0,13.0,13.0,13.0,4.230769,0.9230769,229.76923,144.3077,2018M08,9,6.0,1.0,1.0,0.0,2.5649493,2.5649493,2.5649493,5.4370756,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
124,63.0,1,155.0,94.0,61.0,4.612903,0.006451613,60.245903,40.8,2018M09,9,7.0,1.0,1.0,1.0,5.043425,4.543295,4.1108737,4.0984344,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
125,63.0,0,12.0,12.0,12.0,4.1666665,0.75,202.58333,992.9167,2018M09,9,7.0,1.0,1.0,0.0,2.4849067,2.4849067,2.4849067,5.3111515,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
126,64.0,1,156.0,95.0,61.0,4.5576925,0.0,64.459015,42.294872,2018M10,9,8.0,1.0,1.0,1.0,5.049856,4.553877,4.1108737,4.1660295,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
127,64.0,0,11.0,11.0,11.0,4.090909,0.8181818,319.27274,853.2727,2018M10,9,8.0,1.0,1.0,0.0,2.3978953,2.3978953,2.3978953,5.7660456,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
128,65.0,1,224.0,132.0,92.0,4.629464,0.004464286,68.108696,56.736607,2017M07,10,1.0,0.0,0.0,0.0,5.411646,4.882802,4.5217886,4.221105,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
129,65.0,0,19.0,19.0,19.0,4.4210525,0.5263158,380.4737,367.4737,2017M07,10,1.0,0.0,0.0,0.0,2.944439,2.944439,2.944439,5.941417,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
130,66.0,1,271.0,185.0,86.0,4.4575644,0.0,52.569767,44.531364,2017M08,10,2.0,0.0,0.0,0.0,5.602119,5.220356,4.454347,3.9621413,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
